date,expt_type,exp,duration,genetic_background,construct,expr_type,xy,coord,sub_coord,start,end,birth,sen,dead,fluor_loss,escaped,censor,rls,div_time,growth_slope,desc,path,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,21,3,1,407,FALSE,131,186,FALSE,FALSE,l,FALSE,FALSE,FALSE,cell starts really young and is observed until death,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0084-0907-0583,Rectangle,566,891,35,32,4,none,none,0,84,0,84,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,21,3,1,407,FALSE,131,186,FALSE,FALSE,l,FALSE,FALSE,FALSE,cell starts really young and is observed until death,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0118-0907-0581,Rectangle,563,890,37,34,4,none,none,0,118,0,118,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,21,3,1,407,FALSE,131,186,FALSE,FALSE,l,FALSE,FALSE,FALSE,cell starts really young and is observed until death,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0166-0907-0580,Rectangle,560,890,40,34,4,none,none,0,166,0,166,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,21,3,1,407,FALSE,131,186,FALSE,FALSE,l,FALSE,FALSE,FALSE,cell starts really young and is observed until death,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0213-0907-0577,Rectangle,554,890,46,34,4,none,none,0,213,0,213,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,21,3,1,407,FALSE,131,186,FALSE,FALSE,l,FALSE,FALSE,FALSE,cell starts really young and is observed until death,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0407-0907-0577,Rectangle,554,890,46,34,4,none,none,0,407,0,407,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,2,4,34,407,34,134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Seems to be a shortlived cell,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0034-0171-0187,Rectangle,176,159,22,24,4,none,none,0,34,0,34,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,2,4,34,407,34,134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Seems to be a shortlived cell,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0037-0171-0189,Rectangle,176,159,26,24,4,none,none,0,37,0,37,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,2,4,34,407,34,134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Seems to be a shortlived cell,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0043-0171-0190,Rectangle,176,155,29,33,4,none,none,0,43,0,43,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,2,4,34,407,34,134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Seems to be a shortlived cell,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0044-0171-0190,Rectangle,176,155,28,33,4,none,none,0,44,0,44,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,2,4,34,407,34,134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Seems to be a shortlived cell,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0052-0171-0190,Rectangle,176,155,29,33,4,none,none,0,52,0,52,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,2,4,34,407,34,134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Seems to be a shortlived cell,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0055-0171-0190,Rectangle,176,155,28,33,4,none,none,0,55,0,55,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,2,4,34,407,34,134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Seems to be a shortlived cell,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0073-0171-0191,Rectangle,176,155,31,33,4,none,none,0,73,0,73,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,2,4,34,407,34,134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Seems to be a shortlived cell,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0091-0171-0191,Rectangle,176,155,31,33,4,none,none,0,91,0,91,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,2,4,34,407,34,134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Seems to be a shortlived cell,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0102-0169-0193,Rectangle,178,153,31,33,4,none,none,0,102,0,102,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,2,4,34,407,34,134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Seems to be a shortlived cell,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0116-0169-0195,Rectangle,178,153,34,33,4,none,none,0,116,0,116,0
